Id,Weekly_Sales
1_6_2013-01-25,6410.934400000007
1_6_2013-02-01,6416.951700000009
1_6_2013-02-08,8028.860100000006
1_6_2013-02-15,6508.325900000009
1_6_2013-02-22,6567.915500000008
1_6_2013-03-01,6526.778000000005
1_6_2013-03-08,6764.457600000007
1_6_2013-03-15,6582.564700000008
1_6_2013-03-22,6641.123500000008
1_6_2013-03-29,6289.457600000006
1_6_2013-04-05,6430.317900000008
1_6_2013-04-12,6744.043500000007
1_6_2013-04-19,6657.863300000006
1_6_2013-04-26,6627.924600000006
1_6_2013-05-03,6241.649700000009
1_6_2013-05-10,7755.254500000001
1_6_2013-05-17,6768.643700000004
1_6_2013-05-24,18817.899999999983
1_6_2013-05-31,6433.671700000006
1_6_2013-06-07,6744.043500000007
1_6_2013-06-14,8205.4861
1_6_2013-06-21,21340.097200000022
1_6_2013-06-28,7513.866
1_6_2013-07-05,5331.1578
1_6_2013-07-12,3818.773600000004
1_6_2013-07-19,3931.907100000003
1_6_2013-07-26,4209.995300000002
1_7_2012-11-02,19260.64720000001
1_7_2012-11-09,22355.222400000013
1_7_2012-11-16,19895.00750000001
1_7_2012-11-23,20812.83450000002
1_7_2012-11-30,19260.64720000001
1_7_2012-12-07,22355.222400000013
1_7_2012-12-14,19713.441700000014
1_7_2012-12-21,19229.89080000001
1_7_2012-12-28,19848.74340000002
1_7_2013-01-04,21137.163800000017
1_7_2013-01-11,20025.387500000015
1_7_2013-01-18,19910.795900000016
1_7_2013-01-25,19939.299700000014
1_7_2013-02-01,19831.08940000001
1_7_2013-02-08,21522.34560000002
1_7_2013-02-15,19982.641800000012
1_7_2013-02-22,19943.298000000013
1_7_2013-03-01,21272.064300000016
1_7_2013-03-08,23141.13870000001
1_7_2013-03-15,19949.064600000012
1_7_2013-03-22,19674.64000000001
1_7_2013-03-29,17950.98320000002
1_7_2013-04-05,21546.54900000002
1_7_2013-04-12,20790.600900000023
1_7_2013-04-19,20831.61780000002
1_7_2013-04-26,20927.41390000002
1_7_2013-05-03,20226.868200000015
1_7_2013-05-10,24639.37060000001
1_7_2013-05-17,22353.94150000002
1_7_2013-05-24,22754.808100000013
1_7_2013-05-31,21600.842900000018
1_7_2013-06-07,22908.097100000014
1_7_2013-06-14,23441.783700000015
1_7_2013-06-21,23591.414400000012
1_7_2013-06-28,23706.968800000013
1_7_2013-07-05,15981.79510000002
1_7_2013-07-12,20217.675300000024
1_7_2013-07-19,20201.327400000024
1_7_2013-07-26,20373.013200000027
1_8_2012-11-02,37284.8758
1_8_2012-11-09,36361.21629999999
1_8_2012-11-16,36378.94199999999
1_8_2012-11-23,33628.23879999999
1_8_2012-11-30,35704.27329999998
1_8_2012-12-07,36804.21539999999
1_8_2012-12-14,36476.94919999998
1_8_2012-12-21,39995.172200000015
1_8_2012-12-28,33561.70219999996
1_8_2013-01-04,38270.92039999999
1_8_2013-01-11,37511.35050000004
1_8_2013-01-18,37562.831900000034
1_8_2013-01-25,37656.16440000004
1_8_2013-02-01,38226.274700000016
1_8_2013-02-08,37247.28039999999
1_8_2013-02-15,38122.27410000002
1_8_2013-02-22,38105.31620000002
1_8_2013-03-01,38754.70850000001
1_8_2013-03-08,36764.768999999964
1_8_2013-03-15,38071.9515
1_8_2013-03-22,38029.6554
1_8_2013-03-29,37960.6267
1_8_2013-04-05,38628.102399999974
1_8_2013-04-12,38403.42189999997
1_8_2013-04-19,38445.51679999996
1_8_2013-04-26,38499.886699999974
1_8_2013-05-03,38537.771999999975
1_8_2013-05-10,36436.54879999997
1_8_2013-05-17,38376.472199999975
1_8_2013-05-24,38461.98939999997
1_8_2013-05-31,37883.095
1_8_2013-06-07,36116.54279999998
1_8_2013-06-14,38244.03629999997
1_8_2013-06-21,37875.92199999996
1_8_2013-06-28,37697.97909999997
1_8_2013-07-05,40005.783700000015
1_8_2013-07-12,39096.14760000002
1_8_2013-07-19,39033.926700000025
1_8_2013-07-26,38576.31180000002
1_9_2012-11-02,22457.7979
1_9_2012-11-09,23242.396399999987
1_9_2012-11-16,23054.05939999999
1_9_2012-11-23,22939.849499999975
1_9_2012-11-30,23547.98579999999
1_9_2012-12-07,22479.94879999999
1_9_2012-12-14,23522.166299999993
1_9_2012-12-21,23405.26949999999
1_9_2012-12-28,22365.575499999974
1_9_2013-01-04,22406.0378
1_9_2013-01-11,24437.90549999999
1_9_2013-01-18,23350.486499999985
1_9_2013-01-25,23364.393099999987
1_9_2013-02-01,22502.4369
1_9_2013-02-08,22555.67959999997
1_9_2013-02-15,23536.166999999987
1_9_2013-02-22,27727.93209999999
1_9_2013-03-01,23976.72459999999
1_9_2013-03-08,22508.568899999987
1_9_2013-03-15,24437.90549999999
1_9_2013-03-22,36828.9509
1_9_2013-03-29,24732.80389999999
1_9_2013-04-05,22466.788100000005
1_9_2013-04-12,23348.65129999999
1_9_2013-04-19,20124.128800000002
1_9_2013-04-26,20247.6678
1_9_2013-05-03,20435.7371
1_9_2013-05-10,22876.957699999984
1_9_2013-05-17,23148.894400000005
1_9_2013-05-24,22910.312700000006
1_9_2013-05-31,20435.7371
1_9_2013-06-07,22876.957699999984
1_9_2013-06-14,22584.327800000003
1_9_2013-06-21,22559.569
1_9_2013-06-28,22392.2282
1_9_2013-07-05,22524.055599999996
1_9_2013-07-12,24421.205999999987
1_9_2013-07-19,22257.0665
1_9_2013-07-26,22257.0665
1_10_2012-11-02,29017.86579999996
1_10_2012-11-09,28095.33149999997
1_10_2012-11-16,28193.183699999958
1_10_2012-11-23,28515.03869999996
1_10_2012-11-30,28290.92309999996
1_10_2012-12-07,28527.400599999964
1_10_2012-12-14,28233.356899999962
1_10_2012-12-21,28191.850599999958
1_10_2012-12-28,28492.360099999965
1_10_2013-01-04,28254.04059999996
1_10_2013-01-11,28411.380899999967
1_10_2013-01-18,28525.765399999967
1_10_2013-01-25,28499.31419999997
1_10_2013-02-01,31969.4365
1_10_2013-02-08,33248.0552
1_10_2013-02-15,32505.545299999994
1_10_2013-02-22,32289.92169999999
1_10_2013-03-01,32001.663000000004
1_10_2013-03-08,32685.63030000001
1_10_2013-03-15,32411.80649999999
1_10_2013-03-22,32627.20319999999
1_10_2013-03-29,31734.1683
1_10_2013-04-05,33361.78540000001
1_10_2013-04-12,32070.110399999987
1_10_2013-04-19,31982.709799999986
1_10_2013-04-26,31956.5542
1_10_2013-05-03,32804.3292
1_10_2013-05-10,32113.112400000013
1_10_2013-05-17,32160.47060000001
1_10_2013-05-24,32155.78230000001
1_10_2013-05-31,32614.68529999999
1_10_2013-06-07,32808.90430000002
1_10_2013-06-14,32264.920000000006
1_10_2013-06-21,32265.4674
1_10_2013-06-28,31734.1683
1_10_2013-07-05,33241.99860000001
1_10_2013-07-12,32981.5885
1_10_2013-07-19,32938.618200000004
1_10_2013-07-26,32930.995500000005
1_11_2012-11-02,28948.272300000004
1_11_2012-11-09,29121.099800000004
1_11_2012-11-16,29422.36580000001
1_11_2012-11-23,23870.435200000004
1_11_2012-11-30,29428.789100000005
1_11_2012-12-07,28433.088400000004
1_11_2012-12-14,30650.331600000012
1_11_2012-12-21,29790.09760000001
1_11_2012-12-28,24254.713100000004
1_11_2013-01-04,29218.7599
1_11_2013-01-11,28310.402199999997
1_11_2013-01-18,27824.435500000003
1_11_2013-01-25,27513.4619
1_11_2013-02-01,28547.9445
1_11_2013-02-08,20688.952400000006
1_11_2013-02-15,27121.952199999996
1_11_2013-02-22,29065.677500000013
1_11_2013-03-01,29771.400900000004
1_11_2013-03-08,28310.402199999997
1_11_2013-03-15,27821.249900000003
1_11_2013-03-22,27783.692000000006
1_11_2013-03-29,27511.238300000005
1_11_2013-04-05,30082.733300000018
1_11_2013-04-12,33022.68430000001
1_11_2013-04-19,32101.671100000014
1_11_2013-04-26,31990.17250000002
1_11_2013-05-03,31381.71810000002
1_11_2013-05-10,28984.3909
1_11_2013-05-17,31899.458200000023
1_11_2013-05-24,31936.68780000002
1_11_2013-05-31,31381.71810000002
1_11_2013-06-07,28984.3909
1_11_2013-06-14,31679.495900000016
1_11_2013-06-21,31522.81060000002
1_11_2013-06-28,32774.757800000014
1_11_2013-07-05,30653.665100000013
1_11_2013-07-12,31062.568800000023
1_11_2013-07-19,31018.481500000024
1_11_2013-07-26,30641.17390000002
1_12_2012-11-02,8280.458699999997
1_12_2012-11-09,8338.062899999997
1_12_2012-11-16,8306.2974
1_12_2012-11-23,8082.678499999995
1_12_2012-11-30,8275.646299999999
1_12_2012-12-07,8624.139199999996
1_12_2012-12-14,8457.107599999996
1_12_2012-12-21,8457.107599999996
1_12_2012-12-28,7901.316899999994
1_12_2013-01-04,8667.613899999997
1_12_2013-01-11,8556.527499999998
1_12_2013-01-18,8578.456599999998
1_12_2013-01-25,8685.837399999997
1_12_2013-02-01,8363.2672
1_12_2013-02-08,7878.845499999991
1_12_2013-02-15,8659.613599999997
1_12_2013-02-22,8662.935499999998
1_12_2013-03-01,8275.765599999997
1_12_2013-03-08,8718.821299999998
1_12_2013-03-15,8598.771299999997
1_12_2013-03-22,8619.884999999997
1_12_2013-03-29,8596.234999999997
1_12_2013-04-05,8782.422599999998
1_12_2013-04-12,8886.213699999995
1_12_2013-04-19,8937.003699999996
1_12_2013-04-26,8943.182499999995
1_12_2013-05-03,8606.404299999997
1_12_2013-05-10,9001.591999999995
1_12_2013-05-17,8997.713299999996
1_12_2013-05-24,8990.293899999995
1_12_2013-05-31,8599.735799999997
1_12_2013-06-07,8851.691799999995
1_12_2013-06-14,8866.873499999994
1_12_2013-06-21,8814.293000000003
1_12_2013-06-28,8865.457699999995
1_12_2013-07-05,8940.692699999992
1_12_2013-07-12,9123.997799999992
1_12_2013-07-19,9164.615499999993
1_12_2013-07-26,9253.443099999991
1_13_2012-11-02,40591.9994
1_13_2012-11-09,39654.8359
1_13_2012-11-16,39393.31059999999
1_13_2012-11-23,41340.22060000006
1_13_2012-11-30,42501.36209999994
1_13_2012-12-07,39728.343100000006
1_13_2012-12-14,40488.74999999999
1_13_2012-12-21,40485.96849999998
1_13_2012-12-28,41759.50480000006
1_13_2013-01-04,41191.72479999996
1_13_2013-01-11,40776.37889999998
1_13_2013-01-18,40949.79399999998
1_13_2013-01-25,40979.458099999974
1_13_2013-02-01,40737.47829999998
1_13_2013-02-08,41152.45420000005
1_13_2013-02-15,41088.77639999998
1_13_2013-02-22,41241.34029999998
1_13_2013-03-01,39334.992399999996
1_13_2013-03-08,39784.55549999997
1_13_2013-03-15,41086.28729999997
1_13_2013-03-22,40821.09919999997
1_13_2013-03-29,40515.60899999997
1_13_2013-04-05,41203.45379999999
1_13_2013-04-12,40223.31239999997
1_13_2013-04-19,40117.966699999975
1_13_2013-04-26,39995.40759999998
1_13_2013-05-03,40583.42990000001
1_13_2013-05-10,38994.898499999974
1_13_2013-05-17,39746.05169999998
1_13_2013-05-24,39704.6127
1_13_2013-05-31,39777.68729999999
1_13_2013-06-07,40223.31239999997
1_13_2013-06-14,39594.731
1_13_2013-06-21,39403.26719999999
1_13_2013-06-28,39228.84989999998
1_13_2013-07-05,41267.002199999995
1_13_2013-07-12,38232.74519999996
1_13_2013-07-19,38675.56269999996
1_13_2013-07-26,38674.32369999997
1_14_2012-11-02,18107.752200000017
1_14_2012-11-09,18805.81
1_14_2012-11-16,17139.8849
1_14_2012-11-23,33085.2492
1_14_2012-11-30,18382.052500000005
1_14_2012-12-07,18090.198700000008
1_14_2012-12-14,21632.963600000003
1_14_2012-12-21,42222.05350000005
1_14_2012-12-28,21168.543100000028
1_14_2013-01-04,17506.893700000008
1_14_2013-01-11,16072.314200000008
1_14_2013-01-18,15610.180099999996
1_14_2013-01-25,15679.450400000012
1_14_2013-02-01,15978.983900000003
1_14_2013-02-08,17959.050200000005
1_14_2013-02-15,18733.422400000025
1_14_2013-02-22,18504.327100000017
1_14_2013-03-01,15978.983900000003
1_14_2013-03-08,18437.46770000001
1_14_2013-03-15,17809.865400000006
1_14_2013-03-22,17777.007500000007
1_14_2013-03-29,17496.540100000006
1_14_2013-04-05,17510.071700000008
1_14_2013-04-12,18907.2765
1_14_2013-04-19,17415.151400000002
1_14_2013-04-26,17401.423100000004
1_14_2013-05-03,17911.29730000001
1_14_2013-05-10,17096.433300000004
1_14_2013-05-17,17385.415000000008
1_14_2013-05-24,17575.788800000006
1_14_2013-05-31,17842.774800000003
1_14_2013-06-07,17830.53530000001
1_14_2013-06-14,18120.360400000005
1_14_2013-06-21,17776.120400000003
1_14_2013-06-28,17940.22670000001
1_14_2013-07-05,17517.17430000001
1_14_2013-07-12,18645.044000000005
1_14_2013-07-19,18049.034800000012
1_14_2013-07-26,18167.409800000012
1_16_2012-11-02,7329.142900000002
1_16_2012-11-09,8887.777400000003
1_16_2012-11-16,9046.724800000002
1_16_2012-11-23,9236.620600000002
1_16_2012-11-30,7566.538900000002
1_16_2012-12-07,8887.777400000003
1_16_2012-12-14,8810.448000000006
1_16_2012-12-21,8498.114700000004
1_16_2012-12-28,8859.477499999999
1_16_2013-01-04,7944.397499999996
1_16_2013-01-11,6549.438299999998
1_16_2013-01-18,6260.867499999998
1_16_2013-01-25,5930.0878999999995
1_16_2013-02-01,5963.487399999995
1_16_2013-02-08,6840.971
1_16_2013-02-15,6080.6227999999965
1_16_2013-02-22,6187.7657999999965
1_16_2013-03-01,7056.8359
1_16_2013-03-08,6757.165399999998
1_16_2013-03-15,6449.884299999998
1_16_2013-03-22,6096.758699999997
1_16_2013-03-29,8534.883899999993
1_16_2013-04-05,7023.371199999994
1_16_2013-04-12,5903.169899999995
1_16_2013-04-19,5975.370799999995
1_16_2013-04-26,6160.0840999999955
1_16_2013-05-03,6326.717899999996
1_16_2013-05-10,6455.064599999995
1_16_2013-05-17,7031.302199999994
1_16_2013-05-24,7694.480099999993
1_16_2013-05-31,7044.250299999996
1_16_2013-06-07,7168.745699999995
1_16_2013-06-14,6398.002899999996
1_16_2013-06-21,6662.599799999994
1_16_2013-06-28,8730.770899999994
1_16_2013-07-05,6605.727599999995
1_16_2013-07-12,6492.766299999996
1_16_2013-07-19,6429.754299999996
1_16_2013-07-26,6866.890499999996
1_17_2012-11-02,10090.6063
1_17_2012-11-09,10892.358499999998
1_17_2012-11-16,10074.625300000002
1_17_2012-11-23,11689.542100000002
1_17_2012-11-30,10501.808400000002
1_17_2012-12-07,10502.7467
1_17_2012-12-14,11119.561399999999
1_17_2012-12-21,18466.8177
1_17_2012-12-28,10238.899500000001
1_17_2013-01-04,8945.169899999995
1_17_2013-01-11,9000.687000000007
1_17_2013-01-18,8831.574100000005
1_17_2013-01-25,8775.246000000005
1_17_2013-02-01,9268.081
1_17_2013-02-08,10248.50409999999
1_17_2013-02-15,9292.618300000002
1_17_2013-02-22,9221.6968
1_17_2013-03-01,9268.081
1_17_2013-03-08,9304.602499999999
1_17_2013-03-15,9313.0564
1_17_2013-03-22,9272.287900000001
1_17_2013-03-29,9024.408600000006
1_17_2013-04-05,9211.403999999995
1_17_2013-04-12,9063.7422
1_17_2013-04-19,9121.0433
1_17_2013-04-26,9081.6183
1_17_2013-05-03,8812.401000000002
1_17_2013-05-10,8876.2691
1_17_2013-05-17,8891.863299999999
1_17_2013-05-24,8842.4911
1_17_2013-05-31,9241.8854
1_17_2013-06-07,9479.128999999997
1_17_2013-06-14,8943.668499999998
1_17_2013-06-21,8906.729699999996
1_17_2013-06-28,9052.525500000007
1_17_2013-07-05,9227.407399999995
1_17_2013-07-12,9095.522599999997
1_17_2013-07-19,9093.245899999994
1_17_2013-07-26,9175.657199999996
1_18_2012-11-02,8313.307899999998
1_18_2012-11-09,17223.830600000012
1_18_2012-11-16,16244.357400000003
1_18_2012-11-23,15079.537999999993
1_18_2012-11-30,17983.841299999985
1_18_2012-12-07,22917.892600000006
1_18_2012-12-14,28189.55989999999
1_18_2012-12-21,26451.721799999996
1_18_2012-12-28,18872.3047
1_18_2013-01-04,11550.112699999998
1_18_2013-01-11,22376.479900000006
1_18_2013-01-18,19534.14380000001
1_18_2013-01-25,18032.8443
1_18_2013-02-01,10984.444999999996
1_18_2013-02-08,12398.5359
1_18_2013-02-15,17984.679400000005
1_18_2013-02-22,24677.159900000013
1_18_2013-03-01,18018.606399999982
1_18_2013-03-08,28105.79309999999
1_18_2013-03-15,24475.350500000026
1_18_2013-03-22,22063.3229
1_18_2013-03-29,22297.060900000004
1_18_2013-04-05,11886.441800000004
1_18_2013-04-12,7785.431499999999
1_18_2013-04-19,9032.8164
1_18_2013-04-26,10233.810200000002
1_18_2013-05-03,12166.788900000001
1_18_2013-05-10,17046.987200000003
1_18_2013-05-17,17115.01
1_18_2013-05-24,11753.281700000001
1_18_2013-06-07,8481.711899999998
1_18_2013-07-05,15567.359500000006
1_19_2012-11-02,873.2444999999992
1_19_2012-11-09,877.4298999999992
1_19_2012-11-16,876.5905999999992
1_19_2012-11-23,874.5968999999999
1_19_2012-11-30,876.9939999999995
1_19_2012-12-07,888.1628999999995
1_19_2012-12-14,883.8362999999995
1_19_2012-12-21,878.5773999999994
1_19_2012-12-28,1117.184399999999
1_19_2013-01-04,874.3531999999998
1_19_2013-01-11,859.1031999999999
1_19_2013-01-18,871.9672999999998
1_19_2013-01-25,944.5153999999997
1_19_2013-02-01,851.2671999999998
1_19_2013-02-08,891.9027999999995
1_19_2013-02-15,875.2888999999997
1_19_2013-02-22,850.7173999999998
1_19_2013-03-01,880.6993999999997
1_19_2013-03-08,902.7183999999999
1_19_2013-03-15,921.8295999999998
1_19_2013-03-22,874.1324999999991
1_19_2013-03-29,1031.0101999999997
1_19_2013-04-05,958.4390999999996
1_19_2013-04-12,970.4358999999995
1_19_2013-04-19,969.7285999999996
1_19_2013-04-26,880.6993999999997
1_19_2013-05-03,981.3045999999995
1_19_2013-05-10,990.0119999999998
1_19_2013-05-17,1003.7573999999997
1_19_2013-05-24,881.7261999999995
1_19_2013-05-31,1157.6250999999986
1_19_2013-06-07,1057.4671999999994
1_19_2013-06-14,1154.032699999999
1_19_2013-06-21,859.6449999999993
1_19_2013-06-28,981.3045999999995
1_19_2013-07-05,1154.339299999999
1_19_2013-07-12,1792.197299999999
1_19_2013-07-19,1149.5830999999987
1_19_2013-07-26,880.6993999999997
1_20_2012-11-02,3595.3048
1_20_2012-11-09,3994.9135999999994
1_20_2012-11-16,3609.284899999999
1_20_2012-11-23,4151.796199999999
1_20_2012-11-30,3632.7813
1_20_2012-12-07,3559.287499999999
1_20_2012-12-14,3572.8515999999986
1_20_2012-12-21,3589.1294999999977
1_20_2012-12-28,4240.6193
1_20_2013-01-04,3878.9305999999965
1_20_2013-01-11,3814.2529999999974
1_20_2013-01-18,3589.1294999999977
1_20_2013-01-25,3806.612899999999
1_20_2013-02-01,3716.655499999998
1_20_2013-02-08,4150.530899999999
1_20_2013-02-15,3711.3194999999982
1_20_2013-02-22,3723.9173999999994
1_20_2013-03-01,3602.0656
1_20_2013-03-08,3708.3152999999998
1_20_2013-03-15,3748.2541999999985
1_20_2013-03-22,3752.6585999999975
1_20_2013-03-29,3697.2160999999996
1_20_2013-04-05,3730.268099999999
1_20_2013-04-12,3720.3883999999985
1_20_2013-04-19,3648.157799999999
1_20_2013-04-26,3652.0713999999994
1_20_2013-05-03,3670.928499999999
1_20_2013-05-10,3704.996799999999
1_20_2013-05-17,3670.0208
1_20_2013-05-24,3725.249599999999
1_20_2013-05-31,3602.0656
1_20_2013-06-07,3714.6525999999994
1_20_2013-06-14,3707.5346999999992
1_20_2013-06-21,3489.2217
1_20_2013-06-28,3466.1416000000013
1_20_2013-07-05,3486.3411000000006
1_20_2013-07-12,3470.324000000001
1_20_2013-07-19,3465.0158
1_20_2013-07-26,3466.1416000000013
1_21_2012-11-02,7747.0074000000095
1_21_2012-11-09,7717.071000000009
1_21_2012-11-16,7832.832200000004
1_21_2012-11-23,8076.338600000002
1_21_2012-11-30,7636.309000000009
1_21_2012-12-07,7638.05970000001
1_21_2012-12-14,7690.59320000001
1_21_2012-12-21,7705.188900000008
1_21_2012-12-28,7999.807600000004
